99,1
163,117
210,1
78,8
75,678
14,108
217,2638
215,1082
83,1
121,2
44,20
94,1
122,6
139,1
93,138
4,5
230,17
208,40
41,3
151,378
123,4
158,1
179,1
205,3
89,1
200,9
30,109
56,179
16,14
106,20
51,58
82,62
65,13
196,1
155,42
101,575
9,91
220,2
149,23
8,20
92,11
91,432
70,501
88,1
111,1
156,1
216,31
166,1
164,4
42,350
26,24
77,397
55,42
66,22
213,47
170,161
69,198
68,13
201,1
228,130
43,1
80,745
207,3
176,12
192,1
171,32
146,287
110,221
59,3
95,18
193,15
31,1
19,1
60,1
67,127
105,247
115,3
191,175
104,1
47,5
33,54
126,6
37,463
53,164
194,479
153,90
64,110
172,390
212,2
107,34
218,10
206,7
221,1
20,98
15,7
13,348
186,15
182,8
131,30
165,16
147,1
96,9
10,2
50,1
71,159
103,38
61,7
132,2
198,81
